Node,Model,CPU(s),Cores/Socket,Threads/Core,Sockets,Memory(GB)
xcnc0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,6,2,2,62Gi
xcnd0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,24,6,2,2,125Gi
xcne0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,80,20,2,2,754Gi
xcnf0,AMD EPYC 7763 64-Core Processor,128,64,2,1,995Gi
xcng0,Neoverse-N1,128,128,1,1,1.0Ti
xcnz0,Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz,48,12,2,2,251Gi
